27,422,86.02867889404297,344.64752197265625,192.07583618164062,734.5925903320312,0.5956088304519653,1,6,-1
28,422,101.07907104492188,349.3860778808594,188.76547241210938,730.0093994140625,0.6213914752006531,1,6,-1
29,422,112.69677734375,359.2543029785156,190.1142578125,720.1173095703125,0.5812322497367859,1,6,-1
30,422,124.54645538330078,363.84185791015625,191.20840454101562,715.1124877929688,0.5894234776496887,1,6,-1
34,422,181.43719482421875,382.2085876464844,187.87152099609375,696.43994140625,0.540664792060852,1,6,-1
35,422,197.32029724121094,379.6567687988281,184.91505432128906,698.794921875,0.5894489288330078,1,6,-1
36,422,209.03240966796875,381.63714599609375,186.4935302734375,697.3169555664062,0.5792081952095032,1,6,-1
37,422,219.5199737548828,385.4580993652344,192.2211456298828,693.8790283203125,0.5066958665847778,1,6,-1
38,422,234.48519897460938,390.9666748046875,189.91815185546875,688.2740478515625,0.5541519522666931,1,6,-1
41,422,285.0764465332031,402.7594909667969,179.07012939453125,675.159912109375,0.5201663970947266,1,6,-1
42,422,298.4606628417969,405.10906982421875,178.21945190429688,672.0458374023438,0.6403253674507141,1,6,-1
43,422,312.18170166015625,403.6772155761719,179.66329956054688,674.5311279296875,0.6085509061813354,1,6,-1
179,451,1564.06591796875,133.5072021484375,165.8436279296875,169.37664794921875,0.5648630261421204,1,13,-1
180,451,1574.39990234375,132.8251495361328,167.5338134765625,168.4927215576172,0.6132413148880005,1,13,-1
186,451,1640.149169921875,124.46711730957031,175.9671630859375,178.4959259033203,0.6138864159584045,1,13,-1
187,451,1651.6597900390625,119.85305786132812,176.442626953125,181.46524047851562,0.7393261194229126,1,13,-1
188,451,1664.0831298828125,117.53874969482422,178.39404296875,182.05068969726562,0.646851122379303,1,13,-1
191,451,1703.405029296875,112.8814468383789,180.105712890625,188.12728881835938,0.6270865201950073,1,13,-1
192,451,1715.32763671875,109.6820297241211,181.1175537109375,191.43841552734375,0.5101020932197571,1,13,-1
