epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15551.3,0.53668,0.52618,0.89163,0.8907,0.82824,0.86883,0.74627,0.44332,0.44285,0.85474,0.005842,0.005842,0.005842
44,15912.7,0.53838,0.52548,0.89235,0.88172,0.83936,0.88185,0.7529,0.44035,0.44171,0.85609,0.005743,0.005743,0.005743
45,16274.3,0.5256,0.50857,0.88641,0.88525,0.82854,0.88468,0.75602,0.44467,0.43873,0.85395,0.005644,0.005644,0.005644
46,16635.3,0.52699,0.50681,0.88943,0.90172,0.81662,0.8767,0.76344,0.43885,0.43303,0.8537,0.005545,0.005545,0.005545
47,16996.1,0.51745,0.50189,0.88419,0.88837,0.81211,0.88475,0.76043,0.43843,0.4271,0.85114,0.005446,0.005446,0.005446
48,17357.3,0.52104,0.50215,0.88674,0.89191,0.83279,0.88666,0.7653,0.42634,0.41877,0.84884,0.005347,0.005347,0.005347
49,17718.6,0.5144,0.4941,0.88374,0.86382,0.85212,0.88467,0.75735,0.43336,0.42373,0.85587,0.005248,0.005248,0.005248
50,18079.4,0.514,0.49427,0.88245,0.89276,0.82913,0.88264,0.76786,0.42579,0.4188,0.85244,0.005149,0.005149,0.005149
51,18440.4,0.51355,0.49583,0.88133,0.88771,0.82723,0.89095,0.75563,0.43611,0.42293,0.85591,0.00505,0.00505,0.00505
52,18801.6,0.51243,0.48145,0.88189,0.89818,0.84131,0.88463,0.7712,0.4255,0.42066,0.85212,0.004951,0.004951,0.004951
53,19162.2,0.50586,0.48187,0.88262,0.88819,0.83869,0.89975,0.77401,0.42095,0.41643,0.84476,0.004852,0.004852,0.004852
54,19523.8,0.50539,0.47726,0.88118,0.9005,0.86193,0.89638,0.77936,0.42659,0.42075,0.85189,0.004753,0.004753,0.004753
55,19885.2,0.4947,0.46392,0.87887,0.88175,0.83436,0.88818,0.78864,0.4206,0.41056,0.84812,0.004654,0.004654,0.004654
56,20246.6,0.49317,0.45884,0.87569,0.8565,0.87987,0.9016,0.77682,0.41755,0.40886,0.84777,0.004555,0.004555,0.004555
57,20607.9,0.50114,0.47303,0.87778,0.92092,0.81067,0.88874,0.76546,0.42171,0.40121,0.84912,0.004456,0.004456,0.004456
58,20969.2,0.49075,0.45678,0.87387,0.85027,0.87175,0.89168,0.76638,0.41613,0.40149,0.84913,0.004357,0.004357,0.004357
59,21330.4,0.48871,0.45514,0.87355,0.90367,0.8258,0.8854,0.76596,0.41389,0.40016,0.84814,0.004258,0.004258,0.004258
60,21691.7,0.48879,0.45349,0.87492,0.86699,0.86397,0.89693,0.79535,0.41585,0.39786,0.84903,0.004159,0.004159,0.004159
61,22053.2,0.48806,0.45131,0.87489,0.87834,0.83858,0.88583,0.77482,0.4105,0.39902,0.84659,0.00406,0.00406,0.00406
62,22414.3,0.48601,0.45171,0.87323,0.8986,0.83285,0.88648,0.77412,0.40554,0.39594,0.84444,0.003961,0.003961,0.003961
63,22775.5,0.47597,0.4371,0.86682,0.8549,0.86846,0.8868,0.77971,0.40995,0.38963,0.84792,0.003862,0.003862,0.003862
64,23136.8,0.47693,0.43784,0.87,0.9082,0.83388,0.8986,0.79312,0.405,0.38983,0.84381,0.003763,0.003763,0.003763
