144,686,470.00750732421875,356.6590270996094,40.3150634765625,76.04574584960938,0.5529199838638306,1,2,-1
145,686,466.69757080078125,355.71881103515625,41.365875244140625,76.29046630859375,0.5695169568061829,1,2,-1
146,686,464.68341064453125,354.8628234863281,39.849395751953125,78.17782592773438,0.579909086227417,1,2,-1
147,686,461.4162902832031,354.93292236328125,39.44146728515625,76.19967651367188,0.5232143402099609,1,2,-1
148,686,458.3018493652344,354.6424255371094,39.772308349609375,76.54421997070312,0.5853134393692017,1,2,-1
149,686,455.9335632324219,353.17718505859375,39.43145751953125,77.73843383789062,0.617062509059906,1,2,-1
150,686,451.985595703125,353.0008850097656,41.645233154296875,76.60165405273438,0.679151713848114,1,2,-1
151,686,448.9200439453125,352.82012939453125,41.0111083984375,77.7918701171875,0.5530670881271362,1,2,-1
152,686,444.4594421386719,350.429931640625,42.136322021484375,77.9658203125,0.6571165323257446,1,2,-1
153,686,440.57061767578125,348.6664123535156,42.628631591796875,77.04901123046875,0.7044979333877563,1,2,-1
155,686,432.65960693359375,346.320556640625,41.59375,75.3814697265625,0.5113479495048523,1,2,-1
162,686,404.0394287109375,330.72894287109375,45.151947021484375,76.14910888671875,0.5232488512992859,1,2,-1
163,686,398.8654479980469,329.73309326171875,47.12225341796875,76.47637939453125,0.5516473054885864,1,2,-1
164,686,394.63720703125,326.7314453125,46.332977294921875,78.1866455078125,0.5578373074531555,1,2,-1
165,686,391.5257263183594,324.94970703125,46.48077392578125,80.0111083984375,0.6512669324874878,1,2,-1
209,691,223.25572204589844,305.4048767089844,152.05174255371094,774.5950927734375,0.5281596183776855,1,6,-1
256,692,109.46110534667969,328.394287109375,177.7690887451172,750.91455078125,0.566656768321991,1,6,-1
257,692,104.51313018798828,352.95361328125,181.50424194335938,726.0443115234375,0.6138362288475037,1,6,-1
258,692,98.68840789794922,357.27569580078125,185.49905395507812,722.1680297851562,0.5862802267074585,1,6,-1
259,692,94.56121063232422,350.2402648925781,186.75277709960938,729.3338623046875,0.5699989795684814,1,6,-1
260,692,89.71246337890625,340.46826171875,188.189453125,739.277587890625,0.5750215649604797,1,6,-1
261,692,84.89884185791016,328.4019470214844,191.37893676757812,751.1405029296875,0.6025271415710449,1,6,-1
